Census_tract,Asthma_use_frac,UC_visits_frac,ED_visits_frac,ED_hosp_frac
42003010300.0,0.07228915662650602,0.0,0.024096385542168676,0.0
42003020100.0,0.1054872280037843,0.0014191106906338694,0.015137180700094607,0.008987701040681173
42003020300.0,0.041666666666666664,0.0,0.0,0.0
42003030500.0,0.14454976303317535,0.0071090047393364926,0.026066350710900472,0.0071090047393364926
42003040200.0,0.13043478260869565,0.007246376811594203,0.014492753623188406,0.007246376811594203
42003040400.0,0.058823529411764705,0.0,0.0,0.0
42003040500.0,0.06818181818181818,0.0,0.0,0.0
42003040600.0,0.0,0.0,0.0,0.0
42003040900.0,0.05925925925925926,0.0,0.007407407407407408,0.007407407407407408
42003050100.0,0.12813370473537605,0.0,0.036211699164345405,0.019498607242339833
42003050600.0,0.14583333333333334,0.0,0.020833333333333332,0.0
42003050900.0,0.11924119241192412,0.0027100271002710027,0.032520325203252036,0.018970189701897018
42003051000.0,0.1386861313868613,0.0,0.01824817518248175,0.0072992700729927005
42003051100.0,0.18,0.0,0.06,0.013333333333333334
42003060300.0,0.08376963350785341,0.0,0.010471204188481676,0.010471204188481676
42003060500.0,0.08849557522123894,0.0,0.0,0.0
42003070300.0,0.04861111111111111,0.0,0.013888888888888888,0.0
42003070500.0,0.06504065040650407,0.008130081300813009,0.008130081300813009,0.0
42003070600.0,0.07563025210084033,0.0,0.0,0.0
42003070800.0,0.03496503496503497,0.0,0.0,0.0
42003070900.0,0.030534351145038167,0.0,0.0,0.0
42003080200.0,0.11016949152542373,0.0,0.01694915254237288,0.01694915254237288
42003080400.0,0.05555555555555555,0.0,0.0,0.0
42003080600.0,0.037037037037037035,0.0,0.006172839506172839,0.0
42003080700.0,0.09027777777777778,0.0,0.006944444444444444,0.0
42003080900.0,0.072992700729927,0.0,0.014598540145985401,0.014598540145985401
42003090100.0,0.04716981132075472,0.0,0.009433962264150943,0.009433962264150943
42003090200.0,0.06593406593406594,0.0,0.005494505494505495,0.0
42003090300.0,0.08208955223880597,0.0,0.014925373134328358,0.014925373134328358
42003100500.0,0.11419753086419752,0.0,0.018518518518518517,0.015432098765432098
42003101100.0,0.07725321888412018,0.0,0.008583690987124463,0.0
42003101400.0,0.09322033898305085,0.0,0.00847457627118644,0.0
42003101600.0,0.12535612535612536,0.0,0.022792022792022793,0.008547008547008548
42003101700.0,0.11746031746031746,0.0031746031746031746,0.031746031746031744,0.025396825396825397
42003101800.0,0.06962025316455696,0.0,0.00949367088607595,0.0031645569620253164
42003110200.0,0.06832298136645963,0.0,0.004140786749482402,0.002070393374741201
42003110600.0,0.08597285067873303,0.0022624434389140274,0.006787330316742082,0.0022624434389140274
42003111300.0,0.06318681318681318,0.0,0.0027472527472527475,0.0027472527472527475
42003111400.0,0.06422018348623854,0.0,0.013761467889908258,0.0045871559633027525
42003111500.0,0.08208955223880597,0.0,0.012437810945273632,0.0024875621890547263
42003120300.0,0.13793103448275862,0.005747126436781609,0.020114942528735632,0.011494252873563218
42003120400.0,0.10179640718562874,0.0,0.023952095808383235,0.011976047904191617
42003120700.0,0.12280701754385964,0.0,0.023391812865497075,0.011695906432748537
42003120800.0,0.15228426395939088,0.0,0.0,0.0
42003130100.0,0.09403254972875226,0.0,0.02531645569620253,0.02531645569620253
42003130200.0,0.1079136690647482,0.0,0.03597122302158273,0.03237410071942446
42003130300.0,0.10802469135802469,0.0,0.015432098765432098,0.006172839506172839
42003130400.0,0.07947019867549669,0.0033112582781456954,0.006622516556291391,0.0
42003130600.0,0.12150537634408602,0.0,0.02258064516129032,0.010752688172043012
42003140100.0,0.06285714285714286,0.0,0.002857142857142857,0.0
42003140200.0,0.05627705627705628,0.0,0.0,0.0
42003140300.0,0.0674373795761079,0.0,0.0,0.0
42003140400.0,0.06720430107526881,0.0,0.002688172043010753,0.0
42003140500.0,0.1091703056768559,0.0,0.017467248908296942,0.008733624454148471
42003140600.0,0.05371900826446281,0.0,0.002066115702479339,0.0
42003140800.0,0.061155152887882216,0.0011325028312570782,0.0056625141562853904,0.0
42003141000.0,0.05970149253731343,0.0,0.0,0.0
42003141100.0,0.08866995073891626,0.0049261083743842365,0.0,0.0
42003141300.0,0.04227642276422764,0.0,0.0032520325203252032,0.0
42003141400.0,0.07277628032345014,0.0,0.0,0.0
42003151600.0,0.07462686567164178,0.0,0.005970149253731343,0.005970149253731343
42003151700.0,0.05934718100890208,0.0,0.005934718100890208,0.0
42003160800.0,0.06859205776173286,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976
42003160900.0,0.09278350515463918,0.0,0.0,0.0
42003170200.0,0.08333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333
42003170600.0,0.03,0.0,0.02,0.01
42003180300.0,0.0859538784067086,0.0041928721174004195,0.020964360587002098,0.018867924528301886
42003180700.0,0.08602150537634409,0.0,0.014336917562724014,0.0035842293906810036
42003190300.0,0.09482758620689655,0.0,0.017241379310344827,0.008620689655172414
42003191100.0,0.06779661016949153,0.0,0.005649717514124294,0.0
42003191400.0,0.11061946902654868,0.0,0.017699115044247787,0.0
42003191500.0,0.0855614973262032,0.0,0.0106951871657754,0.0106951871657754
42003191600.0,0.0780559646539028,0.0,0.010309278350515464,0.005891016200294551
42003191700.0,0.07344632768361582,0.0,0.007532956685499058,0.0
42003191800.0,0.10318471337579618,0.0,0.007643312101910828,0.003821656050955414
42003191900.0,0.06442577030812324,0.0,0.0,0.0
42003192000.0,0.07543520309477757,0.0,0.0038684719535783366,0.0019342359767891683
42003202200.0,0.09330985915492958,0.0017605633802816902,0.008802816901408451,0.00528169014084507
42003202300.0,0.09207161125319693,0.005115089514066497,0.01278772378516624,0.010230179028132993
42003210700.0,0.11945392491467577,0.0,0.013651877133105802,0.0034129692832764505
42003220600.0,0.10119047619047619,0.0,0.023809523809523808,0.011904761904761904
42003240600.0,0.08355795148247978,0.0026954177897574125,0.026954177897574125,0.016172506738544475
42003241200.0,0.05511811023622047,0.0,0.015748031496062992,0.015748031496062992
42003250300.0,0.08433734939759036,0.0,0.012048192771084338,0.006024096385542169
42003250700.0,0.09569377990430622,0.0,0.004784688995215311,0.004784688995215311
42003250900.0,0.08064516129032258,0.0,0.012096774193548387,0.012096774193548387
42003260200.0,0.07948717948717948,0.0,0.020512820512820513,0.015384615384615385
42003260700.0,0.09855072463768116,0.002898550724637681,0.017391304347826087,0.011594202898550725
